fixture_id,date,round,home_team,away_team,position,home_player,away_player,winning_player,score,home_games,away_games,home_sets,away_sets,status,valid_for_rating,home_emergency,away_emergency
UA018011,31 Jan 16,1,Victory Park,Bodley Tennis Plus,No. 1,Nick Polychronopoulas,Hamish Roberts,Hamish Roberts,0-6,0,6,0,1,Completed,true,false,false
UA018011,31 Jan 16,1,Victory Park,Bodley Tennis Plus,No. 2,Oliver Richards,George Fennessy,George Fennessy,1-6,1,6,0,1,Completed,true,false,false
UA018011,31 Jan 16,1,Victory Park,Bodley Tennis Plus,No. 3,Bridget Healey,JJ Braithwaite,Bridget Healey,6-3,6,3,1,0,Completed,true,false,false
UA018011,31 Jan 16,1,Victory Park,Bodley Tennis Plus,No. 4,Natalie Kontabasky,Charlize Abbott-Higgins,Natalie Kontabasky,6-0,6,0,1,0,Completed,true,false,false
UA018012,31 Jan 16,1,Coatesville,GPHC MLC,No. 1,Yarden Laschover,Steph Bare,Yarden Laschover,6-4,6,4,1,0,Completed,true,false,false
UA018012,31 Jan 16,1,Coatesville,GPHC MLC,No. 2,Lauren Rossi,Alice Brown,Lauren Rossi,7-6,7,6,1,0,Completed,true,false,false
UA018012,31 Jan 16,1,Coatesville,GPHC MLC,No. 3,Sophie Willis,Alistair Hoffman-Hayes,Sophie Willis,6-2,6,2,1,0,Completed,true,false,false
UA018012,31 Jan 16,1,Coatesville,GPHC MLC,No. 4,Samantha Grant,Will McCarthy,Will McCarthy,1-6,1,6,0,1,Completed,true,false,false
UA018013,31 Jan 16,1,Hampton,Kooyong Xavier,No. 1,Henry Bytheway,Felix Kan,Henry Bytheway,6-0,6,0,1,0,Completed,true,false,false
UA018013,31 Jan 16,1,Hampton,Kooyong Xavier,No. 2,Charlotte Bytheway,Findlay Bell,Charlotte Bytheway,6-1,6,1,1,0,Completed,true,false,false
UA018013,31 Jan 16,1,Hampton,Kooyong Xavier,No. 3,Patrick McConville,Caroline Marcel,Patrick McConville,7-5,7,5,1,0,Completed,true,false,false
UA018013,31 Jan 16,1,Hampton,Kooyong Xavier,No. 4,Grace Roache,Bronte Game,Grace Roache,6-1,6,1,1,0,Completed,true,false,false
UA018014,31 Jan 16,1,St Pauls,Royal Ave,No. 1,Ashton Eikelis,Declan Perry,Ashton Eikelis,6-1,6,1,1,0,Completed,true,false,false
UA018014,31 Jan 16,1,St Pauls,Royal Ave,No. 2,Anna Kennedy,Hudson Perry,Hudson Perry,4-6,4,6,0,1,Completed,true,false,false
UA018014,31 Jan 16,1,St Pauls,Royal Ave,No. 3,Charlotte Turley,Puck Okhuizen,Puck Okhuizen,0-6,0,6,0,1,Completed,true,false,false
UA018014,31 Jan 16,1,St Pauls,Royal Ave,No. 4,Noah Hansen,Ella Green,Ella Green,5-7,5,7,0,1,Completed,true,false,false
UA018021,07 Feb 16,2,Royal Ave,Victory Park,No. 1,Declan Perry,Lachlan Evans,Lachlan Evans,6-7,6,7,0,1,Completed,true,false,false
UA018021,07 Feb 16,2,Royal Ave,Victory Park,No. 2,Hudson Perry,Oliver Richards,Hudson Perry,6-2,6,2,1,0,Completed,true,false,false
UA018021,07 Feb 16,2,Royal Ave,Victory Park,No. 3,Ella Green,Bridget Healey,Bridget Healey,3-6,3,6,0,1,Completed,true,false,false
UA018021,07 Feb 16,2,Royal Ave,Victory Park,No. 4,Tess Dargan,Amelia Von Einem,Tess Dargan,6-2,6,2,1,0,Completed,true,false,false
UA018022,07 Feb 16,2,Bodley Tennis Plus,Coatesville,No. 1,Hamish Buchan,Yarden Laschover,Hamish Buchan,6-3,6,3,1,0,Completed,true,false,false
UA018022,07 Feb 16,2,Bodley Tennis Plus,Coatesville,No. 2,George Fennessy,Lauren Rossi,Lauren Rossi,0-6,0,6,0,1,Completed,true,false,false
UA018022,07 Feb 16,2,Bodley Tennis Plus,Coatesville,No. 3,Freddie Liu,Sophie Willis,Sophie Willis,3-6,3,6,0,1,Completed,true,false,false
UA018022,07 Feb 16,2,Bodley Tennis Plus,Coatesville,No. 4,Charlize Abbott-Higgins,Samantha Grant,Samantha Grant,0-6,0,6,0,1,Completed,true,false,false
UA018023,07 Feb 16,2,GPHC MLC,Hampton,No. 1,Steph Bare,Charlotte Bytheway,Steph Bare,6-3,6,3,1,0,Completed,true,false,false
UA018023,07 Feb 16,2,GPHC MLC,Hampton,No. 2,Lachlan Whitehead,Grace Roache,Lachlan Whitehead,7-5,7,5,1,0,Completed,true,false,false
