fixture_id,date,round,home_team,away_team,position,home_player,away_player,winning_player,score,home_games,away_games,home_sets,away_sets,status,valid_for_rating
AA002011,18 Jul 26,1,Glen Huntly,Clarinda,No. 1,Amir Egre,Ashton Lindt,Amir Egre,6-4 6-4,12,8,2,0,Completed,true
AA002011,18 Jul 26,1,Glen Huntly,Clarinda,No. 2,Isaac Egre,Jayden Heman-Lindt,Jayden Heman-Lindt,2-6 2-6,4,12,0,2,Completed,true
AA002012,18 Jul 26,1,BLTC,Port Melbourne,No. 1,Mateo Quintana,Cameron Gordon,Cameron Gordon,3-6 6-7,9,13,0,2,Completed,true
AA002012,18 Jul 26,1,BLTC,Port Melbourne,No. 2,Edward Jones,Max Lai,Edward Jones,7-5 6-4,13,9,2,0,Completed,true
AA002013,18 Jul 26,1,Ormond White 8.00,Ormond Blue,No. 1,Jack Wiesner,Mathew Li,Mathew Li,0-6 1-6,1,12,0,2,Completed,true
AA002013,18 Jul 26,1,Ormond White 8.00,Ormond Blue,No. 2,Johan Bode,Adele Naujalyte,Adele Naujalyte,2-6 3-6,5,12,0,2,Completed,true
AA002021,25 Jul 26,2,Royal Ave,Glen Huntly,No. 1,Sonny Baker,Amir Egre,Amir Egre,1-6 2-6,3,12,0,2,Completed,true
AA002021,25 Jul 26,2,Royal Ave,Glen Huntly,No. 2,Nick Corbett,Raghav Chandrasekaran,Raghav Chandrasekaran,4-6 1-6,5,12,0,2,Completed,true
AA002022,25 Jul 26,2,Clarinda,BLTC,No. 1,Ashton Lindt,Mateo Quintana,Ashton Lindt,6-2 6-2,12,4,2,0,Completed,true
AA002022,25 Jul 26,2,Clarinda,BLTC,No. 2,Jayden Heman-Lindt,Dieter Van Zyl,Jayden Heman-Lindt,6-1 6-4,12,5,2,0,Completed,true
AA002023,25 Jul 26,2,Port Melbourne,Ormond White 8.00,No. 1,Aariv Singh,Jack Wiesner,Aariv Singh,6-4 6-2,12,6,2,0,Completed,true
AA002023,25 Jul 26,2,Port Melbourne,Ormond White 8.00,No. 2,Max Lai,Johan Bode,Max Lai,2-6 6-1 7-6,15,13,2,1,Completed,true
AA002031,1 Aug 26,3,Glen Huntly,Ormond Blue,No. 1,Amir Egre,Mathew Li,Amir Egre,6-4 6-2,12,6,2,0,Completed,true
AA002031,1 Aug 26,3,Glen Huntly,Ormond Blue,No. 2,Raghav Chandrasekaran,Adele Naujalyte,Adele Naujalyte,5-7 6-7,11,14,0,2,Completed,true
AA002032,1 Aug 26,3,BLTC,Royal Ave,No. 1,Edward Jones,Sonny Baker,Edward Jones,6-3 6-3,12,6,2,0,Completed,true
AA002032,1 Aug 26,3,BLTC,Royal Ave,No. 2,Dieter Van Zyl,Noah Bradley,Dieter Van Zyl,6-2 6-1,12,3,2,0,Completed,true
AA002033,1 Aug 26,3,Ormond White 8.00,Clarinda,No. 1,Jack Wiesner,Ashton Lindt,Ashton Lindt,2-6 3-6,5,12,0,2,Completed,true
AA002033,1 Aug 26,3,Ormond White 8.00,Clarinda,No. 2,Johan Bode,Jayden Heman-Lindt,Jayden Heman-Lindt,1-6 3-6,4,12,0,2,Completed,true
AA002041,8 Aug 26,4,Port Melbourne,Glen Huntly,No. 1,Cameron Gordon,Amir Egre,Amir Egre,0-6 7-6 6-7,13,19,1,2,Completed,true
AA002041,8 Aug 26,4,Port Melbourne,Glen Huntly,No. 2,Aariv Singh,Isaac Egre,Aariv Singh,6-2 6-7 7-6,19,15,2,1,Completed,true
AA002042,8 Aug 26,4,Ormond Blue,BLTC,No. 1,Mathew Li,Luca Harris,Luca Harris,2-6 5-7,7,13,0,2,Completed,true
AA002042,8 Aug 26,4,Ormond Blue,BLTC,No. 2,Adele Naujalyte,Dieter Van Zyl,Adele Naujalyte,7-5 6-4,13,9,2,0,Completed,true
AA002043,8 Aug 26,4,Royal Ave,Ormond White 8.00,No. 1,Nick Corbett,Jack Wiesner,Nick Corbett,6-4 6-1,12,5,2,0,Completed,true
AA002043,8 Aug 26,4,Royal Ave,Ormond White 8.00,No. 2,Noah Bradley,Johan Bode,Johan Bode,1-6 5-7,6,13,0,2,Completed,true
AA002052,15 Aug 26,5,Royal Ave,Ormond Blue,No. 1,Angus Duff,Mathew Li,Mathew Li,0-6 1-6,1,12,0,2,Completed,true
AA002052,15 Aug 26,5,Royal Ave,Ormond Blue,No. 2,Noah Bradley,Adele Naujalyte,Adele Naujalyte,0-6 1-6,1,12,0,2,Completed,true
AA002053,15 Aug 26,5,Port Melbourne,Clarinda,No. 1,Nevan Harrap,Ashton Lindt,Nevan Harrap,3-6 6-1 7-6,16,13,2,1,Completed,true
AA002053,15 Aug 26,5,Port Melbourne,Clarinda,No. 2,Aariv Singh,Jayden Heman-Lindt,Jayden Heman-Lindt,3-6 1-6,4,12,0,2,Completed,true
AA002054,15 Aug 26,5,Glen Huntly,BLTC,No. 1,Amir Egre,Edward Jones,Edward Jones,6-2 3-6 6-7,15,15,1,2,Completed,true
AA002054,15 Aug 26,5,Glen Huntly,BLTC,No. 2,Isaac Egre,Dieter Van Zyl,Isaac Egre,6-2 6-3,12,5,2,0,Completed,true
AA002061,22 Aug 26,6,BLTC,Ormond White 8.00,No. 1,Edward Jones,Jack Wiesner,Edward Jones,6-2 3-6 7-6,16,14,2,1,Completed,true
AA002061,22 Aug 26,6,BLTC,Ormond White 8.00,No. 2,Dieter Van Zyl,Johan Bode,Johan Bode,6-1 3-6 6-7,15,14,1,2,Completed,true
AA002063,22 Aug 26,6,Ormond Blue,Port Melbourne,No. 1,Mathew Li,Nevan Harrap,Nevan Harrap,4-6 5-7,9,13,0,2,Completed,true
AA002063,22 Aug 26,6,Ormond Blue,Port Melbourne,No. 2,Adele Naujalyte,Max Lai,Adele Naujalyte,6-3 6-2,12,5,2,0,Completed,true
AA002064,22 Aug 26,6,Clarinda,Royal Ave,No. 1,Jayden Heman-Lindt,Sonny Baker,Jayden Heman-Lindt,6-3 6-4,12,7,2,0,Completed,true
AA002064,22 Aug 26,6,Clarinda,Royal Ave,No. 2,Joey Poirier,Nick Corbett,Joey Poirier,6-2 6-2,12,4,2,0,Completed,true
AA002071,29 Aug 26,7,Glen Huntly,Ormond White 8.00,No. 1,Amir Egre,Jack Wiesner,Amir Egre,6-2 6-0,12,2,2,0,Completed,true
AA002071,29 Aug 26,7,Glen Huntly,Ormond White 8.00,No. 2,Isaac Egre,Johan Bode,Isaac Egre,7-6 6-0,13,6,2,0,Completed,true
AA002073,29 Aug 26,7,Royal Ave,Port Melbourne,No. 1,Sonny Baker,Nevan Harrap,Nevan Harrap,2-6 3-6,5,12,0,2,Completed,true
AA002073,29 Aug 26,7,Royal Ave,Port Melbourne,No. 2,Noah Bradley,Cameron Gordon,Cameron Gordon,2-6 5-7,7,13,0,2,Completed,true
AA002074,29 Aug 26,7,Ormond Blue,Clarinda,No. 1,Mathew Li,Ashton Lindt,Mathew Li,6-3 6-4,12,7,2,0,Completed,true
AA002074,29 Aug 26,7,Ormond Blue,Clarinda,No. 2,Adele Naujalyte,Jayden Heman-Lindt,Adele Naujalyte,6-2 4-6 7-6,17,14,2,1,Completed,true
AA002091,12 Sep 26,9,Glen Huntly,Royal Ave,No. 1,Amir Egre,Nick Corbett,Amir Egre,6-4 6-1,12,5,2,0,Completed,true
AA002091,12 Sep 26,9,Glen Huntly,Royal Ave,No. 2,Raghav Chandrasekaran,Noah Bradley,Raghav Chandrasekaran,6-1 6-4,12,5,2,0,Completed,true
AA002092,12 Sep 26,9,BLTC,Clarinda,No. 1,[Unlisted home player 1 in TROLS],Jayden Heman-Lindt,Jayden Heman-Lindt,0-6 0-6,0,12,0,2,Completed,false
AA002092,12 Sep 26,9,BLTC,Clarinda,No. 2,Dieter Van Zyl,Joey Poirier,Joey Poirier,3-6 4-6,7,12,0,2,Completed,true
AA002093,12 Sep 26,9,Ormond White 8.00,Port Melbourne,No. 1,Jack Wiesner,Nevan Harrap,Nevan Harrap,4-6 0-6,4,12,0,2,Completed,true
AA002093,12 Sep 26,9,Ormond White 8.00,Port Melbourne,No. 2,Johan Bode,Max Lai,Max Lai,2-6 1-6,3,12,0,2,Completed,true
