fixture_id,date,round,home_team,away_team,position,home_pair,away_pair,winning_pair,score,home_games,away_games,home_sets,away_sets,status,valid_for_rating,home_emergencies,away_emergencies
UA002011,05 Feb 23,1,Royal South Yarra Navy,Mordialloc,No. 1,Johnny Asimenias / Ned Gretton-Watson,Hamish Roberts / Cooper Smith,Johnny Asimenias / Ned Gretton-Watson,6-3,6,3,1,0,Completed,true,"[false, false]","[false, false]"
UA002011,05 Feb 23,1,Royal South Yarra Navy,Mordialloc,No. 2,Anya Lo / Niki Tsemtsidis,Justin Li / Aariyon Gokhale,Anya Lo / Niki Tsemtsidis,7-5,7,5,1,0,Completed,true,"[false, false]","[false, true]"
UA002012,05 Feb 23,1,Dendy Park,BLTC White,No. 1,Noam Barel / Jeremy Mayger,Jake Daniels / Stuart Pagel,Jake Daniels / Stuart Pagel,2-6,2,6,0,1,Completed,true,"[true, false]","[false, false]"
UA002012,05 Feb 23,1,Dendy Park,BLTC White,No. 2,Anh Ngo / Noah Hansen,Hudson Close / Sebastian Brown,Hudson Close / Sebastian Brown,0-6,0,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002013,05 Feb 23,1,Mentone,Kooyong,No. 1,Tiara Wickramage / Paris Stenhouse,Zac Ulas / Kayaan Saluja,Zac Ulas / Kayaan Saluja,2-6,2,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002013,05 Feb 23,1,Mentone,Kooyong,No. 2,James Dimopoulos / Sai Karthik Neerukonda,Joshua Icasiano / Alex Satyendra,James Dimopoulos / Sai Karthik Neerukonda,6-1,6,1,1,0,Completed,true,"[false, false]","[false, false]"
UA002014,05 Feb 23,1,Coatesville,Victory Park,No. 1,Thomas Rossi / Nicholas Dela Cruz,Gidon Scop / Jason Newell,Gidon Scop / Jason Newell,4-6,4,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002014,05 Feb 23,1,Coatesville,Victory Park,No. 2,Ben Gouralnik / Jonah Dela Cruz,Kensei Golec / Benjamin Pinkus,Kensei Golec / Benjamin Pinkus,6-7,6,7,0,1,Completed,true,"[false, false]","[false, false]"
UA002021,12 Feb 23,2,Victory Park,Royal South Yarra Navy,No. 1,Gidon Scop / Jason Newell,Johnny Asimenias / Stella Kephala,Gidon Scop / Jason Newell,6-0,6,0,1,0,Completed,true,"[false, false]","[false, false]"
UA002021,12 Feb 23,2,Victory Park,Royal South Yarra Navy,No. 2,Kensei Golec / Riley Bellingham,Anya Lo / Niki Tsemtsidis,Anya Lo / Niki Tsemtsidis,2-6,2,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002022,12 Feb 23,2,Mordialloc,Dendy Park,No. 1,Hamish Roberts / Cooper Smith,Jeremy Mayger / Anh Ngo,Hamish Roberts / Cooper Smith,6-1,6,1,1,0,Completed,true,"[false, false]","[false, false]"
UA002022,12 Feb 23,2,Mordialloc,Dendy Park,No. 2,Nicholas Kircher-Wilson / Justin Li,Noah Hansen / Angus Giles,Noah Hansen / Angus Giles,4-6,4,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002023,12 Feb 23,2,BLTC White,Mentone,No. 1,Stuart Pagel / Oliver Letham,James Dimopoulos / Sai Karthik Neerukonda,Stuart Pagel / Oliver Letham,6-2,6,2,1,0,Completed,true,"[false, false]","[false, false]"
UA002023,12 Feb 23,2,BLTC White,Mentone,No. 2,Jeremy Nguyen / Sebastian Brown,Katelyn Argent / Paris Stenhouse,Jeremy Nguyen / Sebastian Brown,6-2,6,2,1,0,Completed,true,"[false, false]","[false, false]"
UA002024,12 Feb 23,2,Kooyong,Coatesville,No. 1,Zac Ulas / Lysander Mitchell,Thomas Rossi / Nicholas Dela Cruz,Thomas Rossi / Nicholas Dela Cruz,5-7,5,7,0,1,Completed,true,"[false, false]","[false, false]"
UA002024,12 Feb 23,2,Kooyong,Coatesville,No. 2,Kayaan Saluja / Jesse Theodore,Charlie Garcia / William Chu,Charlie Garcia / William Chu,6-7,6,7,0,1,Completed,true,"[false, true]","[false, false]"
UA002031,19 Feb 23,3,Royal South Yarra Navy,Kooyong,No. 1,Anya Lo / Ned Gretton-Watson,Zac Ulas / Lysander Mitchell,Zac Ulas / Lysander Mitchell,4-6,4,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002031,19 Feb 23,3,Royal South Yarra Navy,Kooyong,No. 2,Phoebe Andrews / Stella Kephala,Joshua Icasiano / Alex Satyendra,Phoebe Andrews / Stella Kephala,6-4,6,4,1,0,Completed,true,"[false, false]","[false, false]"
UA002032,19 Feb 23,3,Dendy Park,Victory Park,No. 1,Jeremy Mayger / Anh Ngo,Jason Newell / Kensei Golec,Jason Newell / Kensei Golec,0-6,0,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002032,19 Feb 23,3,Dendy Park,Victory Park,No. 2,Angus Giles / Sebastian Maddams,Benjamin Pinkus / Riley Bellingham,Angus Giles / Sebastian Maddams,6-1,6,1,1,0,Completed,true,"[false, true]","[false, false]"
UA002033,19 Feb 23,3,Mentone,Mordialloc,No. 1,Katelyn Argent / Sai Karthik Neerukonda,Hamish Roberts / Cooper Smith,Hamish Roberts / Cooper Smith,4-6,4,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002033,19 Feb 23,3,Mentone,Mordialloc,No. 2,Tiara Wickramage / Paris Stenhouse,Nicholas Kircher-Wilson / Justin Li,Nicholas Kircher-Wilson / Justin Li,6-7,6,7,0,1,Completed,true,"[false, false]","[false, false]"
UA002034,19 Feb 23,3,Coatesville,BLTC White,No. 1,Ben Gouralnik / Charlie Garcia,Jake Daniels / Hudson Close,Jake Daniels / Hudson Close,3-6,3,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002034,19 Feb 23,3,Coatesville,BLTC White,No. 2,Jonah Dela Cruz / William Chu,Oliver Letham / Jeremy Nguyen,Oliver Letham / Jeremy Nguyen,3-6,3,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002041,26 Feb 23,4,BLTC White,Royal South Yarra Navy,No. 1,Stuart Pagel / Oliver Letham,Phoebe Andrews / Stella Kephala,Stuart Pagel / Oliver Letham,6-2,6,2,1,0,Completed,true,"[false, false]","[false, false]"
UA002041,26 Feb 23,4,BLTC White,Royal South Yarra Navy,No. 2,Jeremy Nguyen / Hudson Close,Johnny Asimenias / Niki Tsemtsidis,Johnny Asimenias / Niki Tsemtsidis,2-6,2,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002042,26 Feb 23,4,Kooyong,Dendy Park,No. 1,Lysander Mitchell / Joshua Icasiano,Jeremy Mayger / Noah Hansen,Jeremy Mayger / Noah Hansen,3-6,3,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002042,26 Feb 23,4,Kooyong,Dendy Park,No. 2,Kayaan Saluja / Alex Satyendra,Sebastian Maddams / [Unnamed player — TROLS UA002042 away code 4],Kayaan Saluja / Alex Satyendra,6-0,6,0,1,0,Completed,false,"[false, false]","[true, false]"
UA002043,26 Feb 23,4,Victory Park,Mentone,No. 1,Jason Newell / Kensei Golec,Katelyn Argent / Tiara Wickramage,Jason Newell / Kensei Golec,7-5,7,5,1,0,Completed,true,"[false, false]","[false, false]"
UA002043,26 Feb 23,4,Victory Park,Mentone,No. 2,Benjamin Pinkus / Elisha Eciinovic,Sai Karthik Neerukonda / James Dimopoulos,Sai Karthik Neerukonda / James Dimopoulos,0-6,0,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002044,26 Feb 23,4,Mordialloc,Coatesville,No. 1,Hamish Roberts / Cooper Smith,Thomas Rossi / Nicholas Dela Cruz,Hamish Roberts / Cooper Smith,7-5,7,5,1,0,Completed,true,"[false, false]","[false, false]"
UA002044,26 Feb 23,4,Mordialloc,Coatesville,No. 2,Nicholas Kircher-Wilson / Justin Li,Charlie Garcia / Jonah Dela Cruz,Nicholas Kircher-Wilson / Justin Li,6-4,6,4,1,0,Completed,true,"[false, false]","[false, false]"
UA002051,05 Mar 23,5,Mentone,Coatesville,No. 1,Sai Karthik Neerukonda / James Dimopoulos,Thomas Rossi / Jonah Dela Cruz,Thomas Rossi / Jonah Dela Cruz,2-6,2,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002051,05 Mar 23,5,Mentone,Coatesville,No. 2,Tiara Wickramage / Paris Stenhouse,Charlie Garcia / William Chu,Charlie Garcia / William Chu,2-6,2,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002052,05 Mar 23,5,Victory Park,Kooyong,No. 1,Gidon Scop / Jason Newell,Joshua Icasiano / Kayaan Saluja,Gidon Scop / Jason Newell,6-2,6,2,1,0,Completed,true,"[false, false]","[false, false]"
UA002052,05 Mar 23,5,Victory Park,Kooyong,No. 2,Kensei Golec / Riley Bellingham,Alex Satyendra / Jules Baeppler,Kensei Golec / Riley Bellingham,6-2,6,2,1,0,Completed,true,"[false, false]","[false, true]"
UA002053,05 Mar 23,5,BLTC White,Mordialloc,No. 1,Jake Daniels / Stuart Pagel,Hamish Roberts / Owen Matthews,Jake Daniels / Stuart Pagel,6-4,6,4,1,0,Completed,true,"[false, false]","[false, true]"
UA002053,05 Mar 23,5,BLTC White,Mordialloc,No. 2,Hudson Close / Sebastian Brown,Nicholas Kircher-Wilson / Justin Li,Hudson Close / Sebastian Brown,6-2,6,2,1,0,Completed,true,"[false, false]","[false, false]"
UA002054,05 Mar 23,5,Royal South Yarra Navy,Dendy Park,No. 1,Anya Lo / Ned Gretton-Watson,Jeremy Mayger / Noah Hansen,Anya Lo / Ned Gretton-Watson,6-0,6,0,1,0,Completed,true,"[false, false]","[false, false]"
UA002054,05 Mar 23,5,Royal South Yarra Navy,Dendy Park,No. 2,Phoebe Andrews / Stella Kephala,Noah Hansen / Angus Giles,Phoebe Andrews / Stella Kephala,6-4,6,4,1,0,Completed,true,"[false, false]","[false, false]"
UA002061,19 Mar 23,6,Dendy Park,Mentone,No. 1,Anh Ngo / Noah Hansen,Tiara Wickramage / Paris Stenhouse,Tiara Wickramage / Paris Stenhouse,4-6,4,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002061,19 Mar 23,6,Dendy Park,Mentone,No. 2,Anh Ngo / Noah Hansen,Katelyn Argent / James Dimopoulos,Katelyn Argent / James Dimopoulos,0-6,0,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002062,19 Mar 23,6,Coatesville,Royal South Yarra Navy,No. 1,Ben Gouralnik / Charlie Garcia,Anya Lo / Phoebe Andrews,Anya Lo / Phoebe Andrews,2-6,2,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002062,19 Mar 23,6,Coatesville,Royal South Yarra Navy,No. 2,Jonah Dela Cruz / William Chu,Johnny Asimenias / Christopher Manton,Johnny Asimenias / Christopher Manton,1-6,1,6,0,1,Completed,true,"[false, false]","[false, true]"
UA002063,19 Mar 23,6,Kooyong,BLTC White,No. 1,Zac Ulas / Lysander Mitchell,Jake Daniels / Sebastian Brown,Zac Ulas / Lysander Mitchell,6-3,6,3,1,0,Completed,true,"[false, false]","[false, false]"
UA002063,19 Mar 23,6,Kooyong,BLTC White,No. 2,Kayaan Saluja / Alex Satyendra,Oliver Letham / Jeremy Nguyen,Oliver Letham / Jeremy Nguyen,3-6,3,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002064,19 Mar 23,6,Mordialloc,Victory Park,No. 1,Hamish Roberts / Cooper Smith,Gidon Scop / Jason Newell,Hamish Roberts / Cooper Smith,7-5,7,5,1,0,Completed,true,"[false, false]","[false, false]"
UA002064,19 Mar 23,6,Mordialloc,Victory Park,No. 2,Nicholas Kircher-Wilson / Justin Li,Kensei Golec / Benjamin Pinkus,Nicholas Kircher-Wilson / Justin Li,6-2,6,2,1,0,Completed,true,"[false, false]","[false, false]"
UA002071,26 Mar 23,7,Royal South Yarra Navy,Mentone,No. 1,Anya Lo / Johnny Asimenias,Katelyn Argent / Sai Karthik Neerukonda,Anya Lo / Johnny Asimenias,6-1,6,1,1,0,Completed,true,"[false, false]","[false, false]"
UA002071,26 Mar 23,7,Royal South Yarra Navy,Mentone,No. 2,Phoebe Andrews / Stella Kephala,James Dimopoulos / Paris Stenhouse,Phoebe Andrews / Stella Kephala,6-3,6,3,1,0,Completed,true,"[false, false]","[false, false]"
UA002072,26 Mar 23,7,Dendy Park,Coatesville,No. 1,Jeremy Mayger / Angus Giles,Ben Gouralnik / Charlie Garcia,Ben Gouralnik / Charlie Garcia,1-6,1,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002072,26 Mar 23,7,Dendy Park,Coatesville,No. 2,Olivia Frank / Alexia Frank,Sebastian Raboy / Luc Georges,Sebastian Raboy / Luc Georges,2-6,2,6,0,1,Completed,true,"[true, true]","[true, true]"
UA002073,26 Mar 23,7,Victory Park,BLTC White,No. 1,Gidon Scop / Jason Newell,Oliver Letham / Jeremy Nguyen,Gidon Scop / Jason Newell,6-4,6,4,1,0,Completed,true,"[false, false]","[false, false]"
UA002073,26 Mar 23,7,Victory Park,BLTC White,No. 2,Kensei Golec / Benjamin Pinkus,Hudson Close / Sebastian Brown,Kensei Golec / Benjamin Pinkus,6-4,6,4,1,0,Completed,true,"[false, false]","[false, false]"
UA002074,26 Mar 23,7,Kooyong,Mordialloc,No. 1,Zac Ulas / Lysander Mitchell,Hamish Roberts / Cooper Smith,Hamish Roberts / Cooper Smith,5-7,5,7,0,1,Completed,true,"[false, false]","[false, false]"
UA002074,26 Mar 23,7,Kooyong,Mordialloc,No. 2,Joshua Icasiano / Alex Satyendra,Nicholas Kircher-Wilson / Justin Li,Nicholas Kircher-Wilson / Justin Li,0-6,0,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002081,02 Apr 23,8,Mordialloc,Royal South Yarra Navy,No. 1,Hamish Roberts / Cooper Smith,Anya Lo / Johnny Asimenias,Hamish Roberts / Cooper Smith,6-2,6,2,1,0,Completed,true,"[false, false]","[false, false]"
UA002081,02 Apr 23,8,Mordialloc,Royal South Yarra Navy,No. 2,Nicholas Kircher-Wilson / Justin Li,Phoebe Andrews / Stella Kephala,Phoebe Andrews / Stella Kephala,2-6,2,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002082,02 Apr 23,8,BLTC White,Dendy Park,No. 1,Jake Daniels / Oliver Letham,Sebastian Maddams / Olivia Frank,Jake Daniels / Oliver Letham,6-3,6,3,1,0,Completed,true,"[false, false]","[true, true]"
UA002082,02 Apr 23,8,BLTC White,Dendy Park,No. 2,Jeremy Nguyen / Davis Nguyen,Anh Ngo / Alexia Frank,Jeremy Nguyen / Davis Nguyen,6-1,6,1,1,0,Completed,true,"[false, true]","[false, true]"
UA002083,02 Apr 23,8,Kooyong,Mentone,No. 1,Zac Ulas / Lysander Mitchell,Sai Karthik Neerukonda / James Dimopoulos,Zac Ulas / Lysander Mitchell,6-3,6,3,1,0,Completed,true,"[false, false]","[false, false]"
UA002083,02 Apr 23,8,Kooyong,Mentone,No. 2,Kayaan Saluja / Alex Satyendra,Tiara Wickramage / Paris Stenhouse,Tiara Wickramage / Paris Stenhouse,0-6,0,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002084,02 Apr 23,8,Victory Park,Coatesville,No. 1,Gidon Scop / Jason Newell,Nicholas Dela Cruz / Jonah Dela Cruz,Nicholas Dela Cruz / Jonah Dela Cruz,1-6,1,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002084,02 Apr 23,8,Victory Park,Coatesville,No. 2,Kensei Golec / Riley Bellingham,Charlie Garcia / Will Zuou,Kensei Golec / Riley Bellingham,6-1,6,1,1,0,Completed,true,"[false, false]","[false, true]"
UA002091,30 Apr 23,9,Royal South Yarra Navy,Victory Park,No. 1,Phoebe Andrews / Stella Kephala,Gidon Scop / Jason Newell,Gidon Scop / Jason Newell,1-6,1,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002091,30 Apr 23,9,Royal South Yarra Navy,Victory Park,No. 2,Johnny Asimenias / Niki Tsemtsidis,Frankie Hillier / Riley Bellingham,Frankie Hillier / Riley Bellingham,6-7,6,7,0,1,Completed,true,"[false, false]","[true, false]"
UA002092,30 Apr 23,9,Dendy Park,Mordialloc,No. 1,Jeremy Mayger / Anh Ngo,Hamish Roberts / Cooper Smith,Hamish Roberts / Cooper Smith,0-6,0,6,0,1,Completed,true,"[false, false]","[false, false]"
UA002092,30 Apr 23,9,Dendy Park,Mordialloc,No. 2,Olivia Frank / Alexia Frank,Nicholas Kircher-Wilson / Justin Li,Nicholas Kircher-Wilson / Justin Li,2-6,2,6,0,1,Completed,true,"[true, true]","[false, false]"
UA002093,30 Apr 23,9,Mentone,BLTC White,No. 1,Katelyn Argent / Sai Karthik Neerukonda,Stuart Pagel / Oliver Letham,Stuart Pagel / Oliver Letham,2-6,2,6,0,1,Completed,true,"[false, false]","[false, false]"
